Lotid,Chargedescr,Chgamt,Chgqnt,Initial Stock,Cost per Box,Exporter Clean,Exporter Country,Season
0001-0011130,INSPECTIONS,823.2,1800.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011130,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011155,CHARGE LIQUIDATION ADJUST,744.08,0.0,1800,0.4133777777777778,ECO,Peru,2023-2024
0001-0011155,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0011155,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011155,COMMISSION,2285.2,114259.79999999999,1800,1.2695555555555555,ECO,Peru,2023-2024
0001-0011155,COMMISSION LIQUIDATION ADJUST,-37.63,0.0,1800,-0.020905555555555556,ECO,Peru,2023-2024
0001-0011155,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0011155,HANDLING CHARGES,32.0,0.0,1800,0.017777777777777778,ECO,Peru,2023-2024
0001-0011155,INSPECTIONS,613.0,3600.0,1800,0.34055555555555556,ECO,Peru,2023-2024
0001-0011155,PACKING MATERIALS,24.0,3600.0,1800,0.013333333333333334,ECO,Peru,2023-2024
0001-0011155,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011175,CHARGE LIQUIDATION ADJUST,-1892.69,0.0,1800,-1.0514944444444445,ECO,Peru,2023-2024
0001-0011175,COLD STORAGE CHARGE,827.0,3600.0,1800,0.45944444444444443,ECO,Peru,2023-2024
0001-0011175,COLD TREATMENT FEES,250.5,0.0,1800,0.13916666666666666,ECO,Peru,2023-2024
0001-0011175,COMMISSION,2408.9700000000003,120446.9,1800,1.3383166666666668,ECO,Peru,2023-2024
0001-0011175,COMMISSION LIQUIDATION ADJUST,-174.59,0.0,1800,-0.09699444444444445,ECO,Peru,2023-2024
0001-0011175,CUSTOMS CHARGE,853.5,0.0,1800,0.4741666666666667,ECO,Peru,2023-2024
0001-0011175,INSPECTIONS,135.0,1800.0,1800,0.075,ECO,Peru,2023-2024
0001-0011175,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011222,CHARGE LIQUIDATION ADJUST,960.48,0.0,1600,0.6003000000000001,ECO,Peru,2023-2024
0001-0011222,COLD STORAGE CHARGE,800.0,1600.0,1600,0.5,ECO,Peru,2023-2024
0001-0011222,COLD TREATMENT FEES,250.5,0.0,1600,0.1565625,ECO,Peru,2023-2024
0001-0011222,COMMISSION,2491.8,124594.79999999999,1600,1.5573750000000002,ECO,Peru,2023-2024
0001-0011222,COMMISSION LIQUIDATION ADJUST,-1.82,0.0,1600,-0.0011375,ECO,Peru,2023-2024
0001-0011222,CUSTOMS CHARGE,275.0,0.0,1600,0.171875,ECO,Peru,2023-2024
0001-0011222,INSPECTIONS,158.0,1600.0,1600,0.09875,ECO,Peru,2023-2024
0001-0011222,YARD DRAYAGE FEES,615.0,0.0,1600,0.384375,ECO,Peru,2023-2024
0001-0011277,CHARGE LIQUIDATION ADJUST,1044.36,0.0,1600,0.6527249999999999,ECO,Peru,2023-2024
0001-0011277,COLD STORAGE CHARGE,800.0,1600.0,1600,0.5,ECO,Peru,2023-2024
0001-0011277,COLD TREATMENT FEES,250.5,0.0,1600,0.1565625,ECO,Peru,2023-2024
0001-0011277,COMMISSION,2340.3999999999996,117018.54999999999,1600,1.4627499999999998,ECO,Peru,2023-2024
0001-0011277,COMMISSION LIQUIDATION ADJUST,-34.79,0.0,1600,-0.02174375,ECO,Peru,2023-2024
0001-0011277,CUSTOMS CHARGE,275.0,0.0,1600,0.171875,ECO,Peru,2023-2024
0001-0011277,HANDLING CHARGES,27.0,0.0,1600,0.016875,ECO,Peru,2023-2024
0001-0011277,INSPECTIONS,158.0,1600.0,1600,0.09875,ECO,Peru,2023-2024
0001-0011312,CHARGE LIQUIDATION ADJUST,147.28,0.0,1800,0.08182222222222223,ECO,Peru,2023-2024
0001-0011312,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0011312,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011312,COMMISSION,2297.2,114858.0,1800,1.2762222222222221,ECO,Peru,2023-2024
0001-0011312,COMMISSION LIQUIDATION ADJUST,-13.68,0.0,1800,-0.0076,ECO,Peru,2023-2024
0001-0011312,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0011312,HANDLING CHARGES,96.0,0.0,1800,0.05333333333333334,ECO,Peru,2023-2024
0001-0011312,INSPECTIONS,455.0,1800.0,1800,0.25277777777777777,ECO,Peru,2023-2024
0001-0011312,MISC. LABELS/STICKER/PLACARDS,46.5,1800.0,1800,0.025833333333333333,ECO,Peru,2023-2024
0001-0011312,PACKING MATERIALS,25.5,1800.0,1800,0.014166666666666666,ECO,Peru,2023-2024
0001-0011312,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011330,CHARGE LIQUIDATION ADJUST,1054.2,0.0,1800,0.5856666666666667,ECO,Peru,2023-2024
0001-0011330,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011330,COMMISSION,2679.99,133994.52000000002,1800,1.4888833333333331,ECO,Peru,2023-2024
0001-0011330,COMMISSION LIQUIDATION ADJUST,-18.64,0.0,1800,-0.010355555555555555,ECO,Peru,2023-2024
0001-0011330,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0011330,HANDLING CHARGES,9.0,0.0,1800,0.005,ECO,Peru,2023-2024
0001-0011330,INSPECTIONS,613.0,3600.0,1800,0.34055555555555556,ECO,Peru,2023-2024
0001-0011330,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011345,CHARGE LIQUIDATION ADJUST,3711.99,0.0,1800,2.0622166666666666,ECO,Peru,2023-2024
0001-0011345,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011345,COMMISSION,2403.2400000000002,120161.62,1800,1.3351333333333335,ECO,Peru,2023-2024
0001-0011345,COMMISSION LIQUIDATION ADJUST,198.45,0.0,1800,0.11024999999999999,ECO,Peru,2023-2024
0001-0011345,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
